	"""Asia"""	"""British"""	"""Hispanic"""	"""Muslim"""	"""Europe"""	"""Africa"""
0	0.0029330451792864112	0.7711144190479726	0.00010593725726454372	1.8107651299444202e-07	0.2133420027796787	0.01250441465928999
1	0.04687652371439882	0.6784406492714814	0.003518121317515968	0.11460441707045609	0.12501175285453367	0.03154853577162149
2	0.11748734450577669	0.39053847606973324	0.012689878501177558	0.0003135206687286904	0.4581510232970106	0.020819756957576093
3	0.0001244147901446817	0.9950919985726845	4.677352799347633e-05	9.12444436501038e-07	0.004224264833464197	0.0005116358312755478
4	2.1942279573991776e-08	0.9957681328937299	4.479566213761115e-07	5.46254083679797e-10	0.0041869084529963145	4.4488208099187084e-05
5	0.018828183994412585	0.7089564767933252	0.010230221652748709	0.00011325321850600755	0.2610168100598646	0.0008550542811543488
6	6.853602454016335e-06	0.8182350000114652	2.7381313270162535e-05	0.0019231525432997782	0.1796423199114999	0.00016529261801183825
7	1.9918647885794603e-05	0.9845993128912958	0.00012869563163762183	0.00021025459965856848	0.014350869397836556	0.0006909488316866926
8	1.0955962240585278e-05	0.9925320327078688	1.9030763524134047e-05	5.2647790852532865e-09	0.0074226304467085525	1.534485488209342e-05
9	0.03163434929523612	0.07404135004000119	0.04977608860957566	4.964347023871326e-07	0.8400086648178242	0.004539050802663779
10	0.0077590085119629846	0.989204286577568	0.00010311337918971359	4.0373102088061e-05	0.002764946394203358	0.00012827203498727387
11	0.0228743744753328	0.2922828484348001	0.0026285158968113033	0.0013476259587656362	0.6126642390596552	0.06820239617463206
12	0.005359648076034206	0.4748273734387211	0.18163216190325518	0.024192628351058443	0.27479523502071407	0.039192953210220344
13	0.0008045396810990871	0.9622933470951577	0.0007877635682423847	3.075954002318385e-05	0.03542820327201507	0.0006553868434615021
14	9.982281488084507e-05	0.9945772857575932	1.843883712553844e-05	2.651624430860826e-06	0.005266754897311636	3.5046068664369454e-05
15	0.15116711598074656	0.1556819935079944	0.04358505811783335	0.3093419908502008	0.173949932486892	0.16627390905633643
16	0.005382322450611118	0.5329348657040711	0.016503746070973706	0.0005487096509848553	0.4374687908616744	0.007161565261685265
17	4.294055924419007e-05	0.6280891390321457	0.0006811653913799923	0.0003288467128371069	0.36996065762078684	0.0008972506835937694
18	0.002392665095721077	0.6958833327690598	0.0002723932329477394	0.0007512019132300834	0.18979526759412058	0.11090513939492178
19	0.002044355452998963	0.23440270555661594	6.160811857450182e-05	0.00023192893565807175	0.7529760627355411	0.010283339200612526
20	5.388784446418672e-05	0.9958095595761142	0.00017114013016306256	3.764218660763973e-05	0.0036805984917286047	0.0002471717709285393
21	0.00026863023475227264	0.9616570981818839	0.0004109774994718845	0.0008708750991137953	0.03636740983806905	0.00042500914670376254
