	"""Asia"""	"""British"""	"""Hispanic"""	"""Muslim"""	"""Europe"""	"""Africa"""
0	0.003117281009430867	0.7667314635085891	9.924769281368811e-05	1.7331896465307563e-07	0.2160812658340118	0.013970568636184424
1	0.047622555200196995	0.668057668565762	0.0034981442499065736	0.12379098522340916	0.12382555426971262	0.0332050924910143
2	0.11873991516051506	0.3834489808623582	0.012466476387677923	0.00029270744040340826	0.46318341114662004	0.021868509002421693
3	0.00011107362429120441	0.9952590633627805	4.536523090551931e-05	8.39992616243505e-07	0.004088042979810704	0.000495614809603091
4	1.731637412087318e-08	0.9956069257431557	4.194102987933153e-07	4.698189332845886e-10	0.004349801649683481	4.2835410675212416e-05
5	0.019495898801153533	0.7065564839096159	0.010036933827204294	0.00012875667338231697	0.2629219116666398	0.0008600151219863431
6	5.592159083388273e-06	0.8160177611847824	2.715035674682421e-05	0.00183918369761948	0.1819450180541074	0.00016529454766746844
7	1.6709259546142647e-05	0.9848133845707834	0.0001324493614958009	0.00018844206475287625	0.014166732735431505	0.0006822820079868033
8	9.437298011221006e-06	0.9919740195761592	1.8854301826731383e-05	4.7778593802374695e-09	0.007982836560325828	1.4847485822002013e-05
9	0.029336802362005462	0.07078540197905242	0.04847219197014777	4.78446561237273e-07	0.8469593712789671	0.004445753963260549
10	0.00698429881539362	0.989997696958303	0.00010458469407650631	3.79919935690154e-05	0.002748683588546713	0.00012674395010565118
11	0.024191775251502557	0.2832072898804765	0.0025367842123273127	0.0012811155683312178	0.6161070461963221	0.072675988891049
12	0.00493381248106866	0.4764810721149784	0.1829708221469927	0.024108981787251516	0.273154640716358	0.03835067075334281
13	0.0007333007467828414	0.962435973988039	0.0007926604907974518	2.9429984376471905e-05	0.03535682354863525	0.0006518112413794058
14	9.907175704469984e-05	0.9948640308512869	1.761658455811616e-05	2.7895073968785704e-06	0.004982082503523129	3.440879619240983e-05
15	0.14913147074560115	0.15095577242742608	0.04252388062970862	0.31942674842030877	0.16697454967206235	0.17098757810489604
16	0.005043188647460748	0.5175604223376027	0.01630978445817244	0.0005093442536283341	0.45316382223177126	0.0074134380713605
17	3.762737552858951e-05	0.6262083419476141	0.0006741867369671722	0.0003236853077606094	0.3718369391323354	0.0009192194997895951
18	0.002120383559019068	0.6946992227950993	0.0002712304824740576	0.0007249559741888712	0.18852732178193923	0.11365688540727148
19	0.001821831218346875	0.235830271679183	6.234505666505813e-05	0.00022560009959070676	0.751970520767194	0.010089431179019705
20	4.780876790637466e-05	0.9957956978189197	0.00017222564288247178	3.647548076488949e-05	0.0037060051034823616	0.00024178718604878752
21	0.0002545452497018579	0.9631184480463881	0.00039948481912241174	0.0009329007084660859	0.03488888707035592	0.0004057341059664875
22	0.999760195673674	1.3125966131553893e-08	1.629034778339562e-14	0.0002397153885756605	3.117326242101346e-08	4.463852364258869e-08
23	4.750454458823767e-05	0.9953375163930741	1.5337369227954647e-07	7.352761005101651e-08	0.00427127182623276	0.00034348033481583886
24	1.993328619087652e-07	0.9976675721067707	1.1249304832226993e-06	2.971397723690823e-08	0.002227457644609393	0.0001036162713042551
25	0.036708541815865164	0.619506831456497	0.02250277257755835	4.038170347360211e-07	0.29987569796337216	0.021405752369677806
26	0.018558183880042857	0.05265409978196511	0.32311752741828653	0.033775403087057086	0.5433129384008719	0.028581847431778364
27	0.004010287431087499	0.2945853160719378	0.19100921237786475	0.010525811772327085	0.49625514688890116	0.0036142254578759177
28	5.962098322870091e-05	0.9979085964950809	3.0420500549867228e-05	3.947585701284712e-07	0.001736184793070031	0.0002647824694968833
29	0.0018848854731979038	0.0042778829217496985	0.05825208298354102	0.001054735198742777	0.9337619002363429	0.0007685131864265349
30	0.0001544634920333094	0.7545960576023231	5.2320277542508616e-05	4.8774289585226925e-06	0.22257218479678184	0.022620096402364728
31	3.6969790606816374e-05	0.5402883237277439	0.0007641840008047943	3.9588564760517424e-08	0.4579487063611663	0.0009617765311053148
32	4.045785531301923e-05	0.8683591767527464	7.413293929133304e-06	7.211933223977803e-07	0.12930681012698794	0.002285420777698326
33	0.0008790970133095927	0.9968251413553141	4.011937805952388e-05	0.00017952459333048934	0.0003287563663315258	0.0017473612936544725
34	0.02618333707813349	0.010389004293951173	0.00021650783959416926	0.0007271806938323463	0.9580148140425433	0.004469156051936901
35	8.031530674666206e-06	0.9576267514511324	0.0034542020339429986	8.874118057401828e-06	0.03872274461949001	0.0001793962467034803
36	0.0008316887194951123	0.8528473177275685	0.004382077132200086	0.00022095374987031268	0.1256262306644003	0.01609173200647076
37	3.142702749878132e-05	0.9559311807795623	0.0017040697116099675	2.3586946349513937e-07	0.041978339955530325	0.0003547466563415773
38	2.3129746473518928e-05	0.9675975730989831	0.002265039628587	1.4970577121047214e-05	0.0298262709436325	0.0002730160052061099
39	4.882932269027623e-07	0.9443786193720956	0.005733199019000648	8.878454270321265e-07	0.0497044132853217	0.00018239218492557222
40	0.002482607672818806	0.763780498663591	0.005201426944296498	4.727589578352497e-07	0.2253537167255272	0.0031812772348136114
41	0.007123864608944844	0.004318462727273018	0.0017183478119998177	6.723241008861176e-05	0.9865500613721105	0.00022203106958421098
42	0.9998199869311867	6.166359421521502e-05	1.9920654679385083e-09	1.7263531318825601e-09	0.00010839611738198266	9.94963880867006e-06
43	0.14058165012063772	0.301001632084505	0.04417237493236062	3.3081869936864804e-05	0.5084460083447933	0.005765252647774315
44	0.003257748556859248	0.7037625472026415	0.009745578201573213	0.0012258186105532692	0.2747568787083419	0.007251428720026392
45	0.00037546354075423006	0.5409080980207573	0.023626472497049113	1.4952925542093366e-06	0.43478038339595354	0.00030808725293892124
46	4.7569067206679036e-05	0.928650388845666	2.110917167661564e-06	3.001342534545376e-06	0.06245380735044818	0.008843122476965497
