	Israel	European	Muslim	SouthAsian	Hispanic	CelticEnglish	EastAsian	African
0	4.47119172972408e-11	2.377020991036707e-06	4.593093605605382e-11	8.548452747084908e-12	1.1951732414885436e-11	0.9999975228231208	3.016607427288065e-11	1.0001457297353243e-07
1	3.155746816377085e-10	8.378305179208168e-12	7.971128585012911e-15	1.5960946384809178e-13	2.124647530644175e-13	0.9999999951299827	3.838024421971116e-15	4.5456811762351936e-09
2	8.032823160196348e-12	3.019185215618648e-10	1.4762401788167007e-12	3.3131807917247396e-10	2.8586673294306e-13	0.9999999967777029	6.7147207670386196e-15	2.5792739515614874e-09
3	1.8437700088015845e-14	0.0005440536144839401	6.323271339032857e-14	1.1206667403526457e-09	5.068691630554489e-07	0.9994554352373447	1.2154160105933661e-14	3.1582480985032722e-09
4	4.984939746044143e-11	4.61340107991257e-06	7.271580299601052e-11	8.042090305601312e-08	1.7085460899661452e-08	0.999992578611552	1.1448550434285384e-06	1.5655033935660886e-06
5	1.5877498909092591e-06	8.882114320164633e-06	8.246473201807276e-06	2.6220931455588292e-08	4.7882901303901615e-08	0.9999797340113727	3.1965223059094767e-09	1.4723508615747377e-06
6	6.95145151263285e-10	0.002655439118074941	1.1444128691572288e-08	9.321812937886064e-08	0.00016818814989707148	0.9971613382383275	3.213784200739291e-09	1.4925922524499964e-05
7	5.02898157348989e-07	0.9995716340973966	3.0942666416787976e-09	6.507076256667373e-07	7.928493977666074e-05	0.0003479010047655841	1.7043909247680932e-10	2.308758290100721e-08
8	3.15697638808686e-14	8.810094175347343e-10	2.636390801090947e-18	4.007264031097182e-13	1.7523055989153877e-10	0.9999998676730913	4.834048644385817e-16	1.3127023899421847e-07
9	1.0560743157405723e-07	0.0012277100584339661	1.90046454177531e-10	3.0296549781680496e-11	9.959008777074968e-08	0.9987717158976281	1.1239197591618789e-10	3.685136876758226e-07
10	1.1002729005161195e-25	1.4505396587240725e-27	2.1336433001410766e-21	2.902519598320551e-24	2.5819130083691777e-31	1.021125098082261e-27	1.0	2.4913722604926293e-24
11	3.80093739706087e-12	7.77666640095821e-08	1.422998665398754e-09	5.094903337180522e-08	1.3075173047175885e-09	0.999979943922376	1.0033384036384738e-06	1.892128919956107e-05
12	4.756989080107619e-13	1.1770533241994657e-05	4.5080282256447195e-09	4.304790381924435e-07	2.1028297038908707e-07	0.9999112749634578	8.69019176469236e-09	7.630054259133206e-05
13	7.543518996490067e-07	0.000283045396746366	1.0773380371734068e-06	1.935860161705888e-05	9.12735659100064e-07	0.9988126389010863	5.412259517187568e-08	0.0008821585523524937
14	0.8020483834829373	0.0005265181791532653	0.0795710107165712	0.07064618481720923	2.8948011633167224e-06	0.04660507984066372	4.676314447093667e-05	0.0005531650178401726
15	6.823616633069569e-11	4.032809017588584e-07	8.096116528164311e-15	2.0717532322005343e-12	1.5902984115340194e-13	0.9999995797252582	1.1323170620129853e-13	1.692325186381002e-08
16	0.9884232912566098	7.110524615647493e-05	0.000961838902637942	1.1377167563909345e-05	0.009665231335884096	0.00047899109451808705	1.0990652956762649e-05	0.00037717434367284407
17	3.831415671049966e-09	5.445962959530601e-05	5.29624921732216e-11	7.889631742482089e-09	7.684217501999503e-07	0.9999362439784119	6.822829001150973e-10	8.515513946484635e-06
18	5.8341044582058926e-08	1.771232268234511e-06	1.1103593252664848e-08	2.58968037501226e-06	2.544878151958825e-09	0.9999918037297513	9.641604222415859e-08	3.6669520517933764e-06
19	3.815128939685293e-05	5.230297011763682e-05	1.9531096570246684e-09	1.0864126423111744e-09	2.9005355565341253e-08	0.9998957015719429	1.7192448544116277e-08	1.3794931212640395e-05
20	5.183680994571738e-13	0.9889477117237313	1.1713210943976724e-09	1.056698707771224e-09	4.42910835875392e-07	0.011007825461693356	4.962385830040006e-08	4.396805134119611e-05
21	1.1084283302636138e-07	0.01166610669515123	1.9118600572383948e-05	6.043269100443282e-10	0.0067582067138690725	0.9788084100506912	6.923716696830122e-08	0.0027479772553804325
22	9.827092967236614e-08	0.9766824985435808	1.6784534120405982e-07	1.1845610195900631e-05	0.020287795262279713	0.002982718219430289	7.746171857504434e-07	3.410163104416913e-05
23	4.7638962917279475e-11	0.9818074912779648	6.396670755524194e-09	4.625516469115891e-09	0.0053856693234984885	0.012806512992163144	3.1306706656535233e-07	2.2694836774320233e-09
24	4.060837968712217e-06	2.554363516744391e-05	6.918104579730116e-05	5.634840872369127e-06	1.0129275094564541e-07	0.9998775379911837	3.00100412834496e-08	1.791034621787397e-05
25	7.711710989110092e-13	3.509056980701322e-08	6.803506313801407e-13	2.7573430007977996e-09	1.4405863495236368e-09	0.9999998875795689	2.7261512525392465e-09	7.040431978743083e-08
26	2.23187667831437e-11	4.791871406165151e-08	9.782229529737913e-14	2.6430602117543047e-10	3.338323016375099e-09	0.9999999477511081	1.7327070130698894e-11	6.878001632510246e-10
27	1.10785686205914e-13	8.238803774123409e-05	2.1608729737553696e-10	1.0851666953566649e-11	3.7800163168597753e-10	0.9999166425127038	1.5165233242918963e-11	9.688293426690858e-07
28	0.00020511337634054115	0.2247884376517352	0.0024509890899878034	6.666603936273143e-06	0.00030889941777017984	0.7693782410092004	2.8419222754054242e-08	0.00286162443181328
29	2.570689836552157e-16	2.6962324538307483e-13	7.808522886317539e-15	8.663614567481305e-15	8.310174708054186e-16	1.09784253693039e-17	0.9999999999995879	1.270825450402828e-13
30	9.836312827324744e-08	0.9999633994550284	1.9112562983465317e-06	1.9582081817631102e-08	4.7250629378283665e-06	2.9841750646987163e-05	1.8599827038659152e-10	4.343886919281807e-09
